Negative Comments
"Thats how effin sick some people are, Donald Trump will be president..

GOD SAVED HIM A FEW TIMES GOD GOES BEFORE EVIL AND HE KNEW TRUMP WAS ONE OF HIS..."
BBC THE ENEMY OF THE OFFICE FOR PROMOTING EVIL GARBAGE ROTTEN EVIL SODOM AND GOMMOLA TO PROTECT DEMOCRAT PARTY FOR EVIL
"FBI ARE USELESS, ARE OWNED BY WOKE."
At least he doesn't need to worry about his pager exploding
"Trump lied.
Trump is selling gis shares.
Sell, sell, sell Trump Media Stock. It has fallen to $13 after  Trump's disastrous failure in the debate against Kamala Harris. MAGA fools who invested are going to be left high and dry when  MAGA fools need"
Like or dislike he need step down for safety sake
"They r going 2 get him  his  cult ...just watch its not the blue but reds  cult red.maybe keep yr creepy sad weirdo mouth  shut n play fair .ur making gop loook soo ugly evil  moron

 Moro"
Wtf is wrong with America...protect that man at any cost... Trump ... I know teump is a bit tough for immigrants 😂😂.I dont wanna come to usa but i want world economy on track.
Correction alleged attempt to assa
"Conspiracy theories from nut-jobs are laughable. We don't have any real evidence or facts yet.  This clown suspect could have been randomly going to the location hoping Trump is there.  What is more plausible is police scanners and radio chatter. It is likely days before, Trumps secret service detail has to notify local police that Trump will be visiting his golf course. No matter how restricted something was mentioned in the police radio chatter likely."
Just shows how afraid of him getting elected they are.
Dornald Trump is looking for Sympathy votes with fake assassination attempts it is all FAKE and staged
"This is another fake well paid 
Stunt...Trump knows he wont win and tries again to get vottes. If this was real he would have been killed or badly hurt. 🙄"
I think Kamala is behind this.
Trump playing the victim card. Stay alart stay focused guys
The Secret Service's negligence is too coincidental. These seem like coordinated attempts. It's difficult to determine whether it's the CCP or his political opponents.
The gun was an SKS and a piece of shit one at that..
Reaping the racism hate he sow during his term. A president must unite and not devide the UNITED STATES OF AMERICA.
How is this possible that someone can get that close on his property like they do  were is his secret service at
"Even the assassins are incompetent, the establishment is too desperate to eliminate the competition."
Why do they call them assault weapons can’t a black powdered weapon assault a person? Only if a person picks it up and assaults a person. Assault person no I like salt and pepper with vinegar 😅
"Journalism is dead! 
The media gets paid by the swamp to peddle their lies! 

Trump 2024!"
"I'm not sure which of te following depresses me most....That there are so many 'nutters' in USA; that they have access to dangerous weapons; or (well, not really, but the thought did cross my mind) that they are so poor at planning and carrying out their vile intent!"
This is ridiculous. I might not be a fan of Donald Trump but people trying to assassinate him is just horrible.
"WHAT IS ALL THIS FUSS ABOUT THIS ?   AN AK 47 , A WEAPON OF MASS DESTRUCTION IS FREELY AVAILABLE IN THE USA.
THE LAND OF THE FREE...WHERE KIDS GET KILLED BY THESE WEAPONS ALL THE TIME.   NRA.....WHAT A SCANDAL!!!!!"
"""I lost the debate... we need to do something drastic again to stay ahead in the game..""... smh..."
"If I had a nickel for every time donald trump, I almost got assassinated. I have two nickels, which isn't a lot, but it's crazy that this happened twice"
"BBC are pure noncey scum bags, get rid of the BBC level it"
"Im not surprised. The left winged party in America acted like Trump was inflicting pain on their bodies daily. It became common to hear people wish for the destruction of Trump. People often ""joked"" about his death. They normalised this idea. They are part of the reason these assassination attempts are happening."
False
"Dang these dudes be missing conviniently,"
Lester is getting bad at this
It's both shocking and disheartening to think that we're facing yet another attempted assassination of the same president
Why are these Trump idiots so bad at trying to get him. Oh yeah they’re Trump. Idiots trying to kill Trump morons all.😅😅😅😅😅
"Secret Service meeting behind closed doors:
One of us is protecting Trump!"
The Secret Service exists to make Americans believe that the President of the United States is protected.
Every country outside of the U.S. is laughing at Trump and his supporters. Half of you apparently don't know your head from your ass.
"I wonder whether the XAI770K project you in it, and if the secret service cries Donald Duck every time this occurs."
2 times is absolutely insane. Wasn't that only a month ago? This year finna be crazy
